"tip_label"	"accesion"	"taxid"	"taxname"	"taxrank"	"old_tip_label"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"
"576"	"MK942857"	"576"	"Klebsiella indica"	"species"	"'MK942857, Klebsiella indica, Klebsiella indica, (MK942857), TOUT106 T'"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"576"
"451513"	"EF643377"	"451513"	"Mangrovibacter plantisponsor"	"species"	"'EF643377, Mangrovibacter plantisponsor, Mangrovibacter plantisponsor, (EF643377), MSSRF40 T'"	"2"	"1224"	"1236"	"91347"	"543"	"451512"	"451513"
"1691903"	"KP319034"	"1691903"	"Mangrovibacter phragmitis"	"species"	"'KP319034, Mangrovibacter phragmitis, Mangrovibacter phragmitis, (KP319034), MP23 T'"	"2"	"1224"	"1236"	"91347"	"543"	"451512"	"1691903"
"1529639"	"KM089834"	"1529639"	"Mangrovibacter yixingensis"	"species"	"'KM089834, Mangrovibacter yixingensis, Mangrovibacter yixingensis, (KM089834), TULL-A T'"	"2"	"1224"	"1236"	"91347"	"543"	"451512"	"1529639"
"158852"	"AB681979"	"158852"	"Trabulsiella guamensis"	"species"	"'AB681979, Trabulsiella guamensis, Trabulsiella guamensis, (AB681979), NBRC 103172 T'"	"2"	"1224"	"1236"	"91347"	"543"	"158851"	"158852"
"379893"	"DQ453129"	"379893"	"Trabulsiella odontotermitis"	"species"	"'DQ453129, Trabulsiella odontotermitis, Trabulsiella odontotermitis, (DQ453129), Eant 3-9 T'"	"2"	"1224"	"1236"	"91347"	"543"	"158851"	"379893"
"1487935"	"HG972968"	"1487935"	"Enterobacillus tribolii"	"species"	"'HG972968, Enterobacillus tribolii, Enterobacillus tribolii, (HG972968), IG-V01 T'"	"2"	"1224"	"1236"	"91347"	"1903412"	"1822002"	"1487935"
"54736"	"AF029227"	"54736"	"Salmonella bongori"	"species"	"'AF029227, Salmonella bongori, Salmonella bongori, (AF029227), BR 1859 T'"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"54736"
"623"	"X96963"	"623"	"Shigella flexneri"	"species"	"'X96963, Shigella flexneri, Shigella flexneri, (X96963), ATCC 29903 LTP [T] T'"	"2"	"1224"	"1236"	"91347"	"543"	"620"	"623"
"624"	"FR870445"	"624"	"Shigella sonnei"	"species"	"'FR870445, Shigella sonnei, Shigella sonnei, (FR870445), CECT 4887 T'"	"2"	"1224"	"1236"	"91347"	"543"	"620"	"624"
"622"	"X96966"	"622"	"Shigella dysenteriae"	"species"	"'X96966, Shigella dysenteriae, Shigella dysenteriae, (X96966), ATCC 13313 LTP [T] T'"	"2"	"1224"	"1236"	"91347"	"543"	"620"	"622"
"1499973"	"KJ787692"	"1499973"	"Escherichia marmotae"	"species"	"'KJ787692, Escherichia marmotae, Escherichia marmotae, (KJ787692), HT073016 T'"	"2"	"1224"	"1236"	"91347"	"543"	"561"	"1499973"
"2608867"	"LR745848"	"2608867"	"Escherichia ruysiae"	"species"	"'LR745848, Escherichia ruysiae, Escherichia ruysiae, (LR745848), OPT1704 T'"	"2"	"1224"	"1236"	"91347"	"543"	"561"	"2608867"
