"node"	"taxid"	"n_labels"	"node_label"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"	"Taxon_name"	"Rank"
19453	"2157"	1	"2157"	"2157"	NA	NA	NA	NA	NA	NA	NA	"Archaea"	"superkingdom"
19455	"2"	2	"2+48381"	"2"	NA	NA	NA	NA	NA	NA	NA	"Bacteria"	"superkingdom"
19455	"48381"	2	"2+48381"	"2"	NA	NA	NA	NA	"48381"	NA	NA	"Thermothrix"	"genus"
19458	"200940"	3	"200940+57723+533205"	"2"	"200940"	NA	NA	NA	NA	NA	NA	"Thermodesulfobacteriota"	"phylum"
19458	"57723"	3	"200940+57723+533205"	"2"	"57723"	NA	NA	NA	NA	NA	NA	"Acidobacteriota"	"phylum"
19458	"533205"	3	"200940+57723+533205"	"2"	"57723"	"533205"	NA	NA	NA	NA	NA	"Holophagae"	"class"
19459	"1239"	9	"1239+186801+91061+1385+3039167+68295+186814+3039168+539003"	"2"	"1239"	NA	NA	NA	NA	NA	NA	"Bacillota"	"phylum"
19459	"186801"	9	"1239+186801+91061+1385+3039167+68295+186814+3039168+539003"	"2"	"1239"	"186801"	NA	NA	NA	NA	NA	"Clostridia"	"class"
19459	"91061"	9	"1239+186801+91061+1385+3039167+68295+186814+3039168+539003"	"2"	"1239"	"91061"	NA	NA	NA	NA	NA	"Bacilli"	"class"
19459	"1385"	9	"1239+186801+91061+1385+3039167+68295+186814+3039168+539003"	"2"	"1239"	"91061"	"1385"	NA	NA	NA	NA	"Bacillales"	"order"
19459	"3039167"	9	"1239+186801+91061+1385+3039167+68295+186814+3039168+539003"	"2"	"1239"	"186801"	"3039167"	NA	NA	NA	NA	"Moorellales"	"order"
19459	"68295"	9	"1239+186801+91061+1385+3039167+68295+186814+3039168+539003"	"2"	"1239"	"186801"	"68295"	NA	NA	NA	NA	"Thermoanaerobacterales"	"order"
19459	"186814"	9	"1239+186801+91061+1385+3039167+68295+186814+3039168+539003"	"2"	"1239"	"186801"	"68295"	"186814"	NA	NA	NA	"Thermoanaerobacteraceae"	"family"
19459	"3039168"	9	"1239+186801+91061+1385+3039167+68295+186814+3039168+539003"	"2"	"1239"	"186801"	"3039167"	"3039168"	NA	NA	NA	"Moorellaceae"	"family"
19459	"539003"	9	"1239+186801+91061+1385+3039167+68295+186814+3039168+539003"	"2"	"1239"	"91061"	"1385"	"539003"	NA	NA	NA	"Bacillales Family X. Incertae Sedis"	"family"
19460	"65842"	10	"65842+976+117743+200643+171549+200644+49546+815+237+816"	"2"	"65842"	NA	NA	NA	NA	NA	NA	"Fibrobacterota"	"phylum"
19460	"976"	10	"65842+976+117743+200643+171549+200644+49546+815+237+816"	"2"	"976"	NA	NA	NA	NA	NA	NA	"Bacteroidota"	"phylum"
19460	"117743"	10	"65842+976+117743+200643+171549+200644+49546+815+237+816"	"2"	"976"	"117743"	NA	NA	NA	NA	NA	"Flavobacteriia"	"class"
19460	"200643"	10	"65842+976+117743+200643+171549+200644+49546+815+237+816"	"2"	"976"	"200643"	NA	NA	NA	NA	NA	"Bacteroidia"	"class"
19460	"171549"	10	"65842+976+117743+200643+171549+200644+49546+815+237+816"	"2"	"976"	"200643"	"171549"	NA	NA	NA	NA	"Bacteroidales"	"order"
19460	"200644"	10	"65842+976+117743+200643+171549+200644+49546+815+237+816"	"2"	"976"	"117743"	"200644"	NA	NA	NA	NA	"Flavobacteriales"	"order"
19460	"49546"	10	"65842+976+117743+200643+171549+200644+49546+815+237+816"	"2"	"976"	"117743"	"200644"	"49546"	NA	NA	NA	"Flavobacteriaceae"	"family"
19460	"815"	10	"65842+976+117743+200643+171549+200644+49546+815+237+816"	"2"	"976"	"200643"	"171549"	"815"	NA	NA	NA	"Bacteroidaceae"	"family"
19460	"237"	10	"65842+976+117743+200643+171549+200644+49546+815+237+816"	"2"	"976"	"117743"	"200644"	"49546"	"237"	NA	NA	"Flavobacterium"	"genus"
19460	"816"	10	"65842+976+117743+200643+171549+200644+49546+815+237+816"	"2"	"976"	"200643"	"171549"	"815"	"816"	NA	NA	"Bacteroides"	"genus"
19461	"201174"	13	"201174+1497346+1760+186802+588674+85011+186807+2062+320796+68298+1883+192992+192994"	"2"	"201174"	NA	NA	NA	NA	NA	NA	"Actinomycetota"	"phylum"
19461	"1497346"	13	"201174+1497346+1760+186802+588674+85011+186807+2062+320796+68298+1883+192992+192994"	"2"	"201174"	"1497346"	NA	NA	NA	NA	NA	"Thermoleophilia"	"class"
19461	"1760"	13	"201174+1497346+1760+186802+588674+85011+186807+2062+320796+68298+1883+192992+192994"	"2"	"201174"	"1760"	NA	NA	NA	NA	NA	"Actinomycetes"	"class"
19461	"186802"	13	"201174+1497346+1760+186802+588674+85011+186807+2062+320796+68298+1883+192992+192994"	"2"	"1239"	"186801"	"186802"	NA	NA	NA	NA	"Eubacteriales"	"order"
19461	"588674"	13	"201174+1497346+1760+186802+588674+85011+186807+2062+320796+68298+1883+192992+192994"	"2"	"201174"	"1497346"	"588674"	NA	NA	NA	NA	"Thermoleophilales"	"order"
19461	"85011"	13	"201174+1497346+1760+186802+588674+85011+186807+2062+320796+68298+1883+192992+192994"	"2"	"201174"	"1760"	"85011"	NA	NA	NA	NA	"Kitasatosporales"	"order"
