"tip_label"	"accession"	"taxid"	"taxname"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"
"AE006468-_Salmonella_enterica_subsp._enterica-_Salmonella_enterica_subsp._enterica-_|AE006468|-_LT2_T"	"AE006468"	"99287"	"Salmonella enterica subsp. enterica"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	"99287"
"AF008580-_Salmonella_enterica_subsp._arizonae-_Salmonella_enterica_subsp._arizonae-_|AF008580|-_ATCC_13314_T"	"AF008580"	"59203"	"Salmonella enterica subsp. arizonae"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	NA
"MK942857-_Klebsiella_indica-_Klebsiella_indica-_|MK942857|-_TOUT106_T"	"MK942857"	"576"	"Klebsiella indica"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"576"	NA
"EU014680-_Salmonella_enterica_subsp._indica-_Salmonella_enterica_subsp._indica-_|EU014680|-_DSM_14848_T"	"EU014680"	"59207"	"Salmonella enterica subsp. indica"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	NA
"EU014684-_Salmonella_enterica_subsp._houtenae-_Salmonella_enterica_subsp._houtenae-_|EU014684|-_DSM_9221_T"	"EU014684"	"59205"	"Salmonella enterica subsp. houtenae"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	NA
"EU014685-_Salmonella_enterica_subsp._salamae-_Salmonella_enterica_subsp._salamae-_|EU014685|-_DSM_9220_T"	"EU014685"	"59202"	"Salmonella enterica subsp. salamae"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	NA
"EU014688-_Salmonella_enterica_subsp._diarizonae-_Salmonella_enterica_subsp._diarizonae-_|EU014688|-_DSM_14847_T"	"EU014688"	"59204"	"Salmonella enterica subsp. diarizonae"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	NA
"EF643377-_Mangrovibacter_plantisponsor-_Mangrovibacter_plantisponsor-_|EF643377|-_MSSRF40_T"	"EF643377"	"451513"	"Mangrovibacter plantisponsor"	"2"	"1224"	"1236"	"91347"	"543"	"451512"	"451513"	NA
"KP319034-_Mangrovibacter_phragmitis-_Mangrovibacter_phragmitis-_|KP319034|-_MP23_T"	"KP319034"	"1691903"	"Mangrovibacter phragmitis"	"2"	"1224"	"1236"	"91347"	"543"	"451512"	"1691903"	NA
"KM089834-_Mangrovibacter_yixingensis-_Mangrovibacter_yixingensis-_|KM089834|-_TULL-A_T"	"KM089834"	"1529639"	"Mangrovibacter yixingensis"	"2"	"1224"	"1236"	"91347"	"543"	"451512"	"1529639"	NA
"AB681979-_Trabulsiella_guamensis-_Trabulsiella_guamensis-_|AB681979|-_NBRC_103172_T"	"AB681979"	"158852"	"Trabulsiella guamensis"	"2"	"1224"	"1236"	"91347"	"543"	"158851"	"158852"	NA
"DQ453129-_Trabulsiella_odontotermitis-_Trabulsiella_odontotermitis-_|DQ453129|-_Eant_3-9_T"	"DQ453129"	"379893"	"Trabulsiella odontotermitis"	"2"	"1224"	"1236"	"91347"	"543"	"158851"	"379893"	NA
"HG972968-_Enterobacillus_tribolii-_Enterobacillus_tribolii-_|HG972968|-_IG-V01_T"	"HG972968"	"1487935"	"Enterobacillus tribolii"	"2"	"1224"	"1236"	"91347"	"1903412"	"1822002"	"1487935"	NA
"AF029227-_Salmonella_bongori-_Salmonella_bongori-_|AF029227|-_BR_1859_T"	"AF029227"	"54736"	"Salmonella bongori"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"54736"	NA
"AF530475-_Escherichia_fergusonii-_Escherichia_fergusonii-_|AF530475|-_ATCC_35469_T"	"AF530475"	"585054"	"Escherichia fergusonii"	"2"	"1224"	"1236"	"91347"	"543"	"561"	"564"	"585054"
"X96963-_Shigella_flexneri-_Shigella_flexneri-_|X96963|-_ATCC_29903_LTP__T"	"X96963"	"623"	"Shigella flexneri"	"2"	"1224"	"1236"	"91347"	"543"	"620"	"623"	NA
"X80725-_Escherichia_coli-_Escherichia_coli-_|X80725|-_ATCC_11775T_T"	"X80725"	"866789"	"Escherichia coli"	"2"	"1224"	"1236"	"91347"	"543"	"561"	"562"	"866789"
"FR870445-_Shigella_sonnei-_Shigella_sonnei-_|FR870445|-_CECT_4887_T"	"FR870445"	"624"	"Shigella sonnei"	"2"	"1224"	"1236"	"91347"	"543"	"620"	"624"	NA
"X96966-_Shigella_dysenteriae-_Shigella_dysenteriae-_|X96966|-_ATCC_13313_LTP__T"	"X96966"	"622"	"Shigella dysenteriae"	"2"	"1224"	"1236"	"91347"	"543"	"620"	"622"	NA
"KJ787692-_Escherichia_marmotae-_Escherichia_marmotae-_|KJ787692|-_HT073016_T"	"KJ787692"	"1499973"	"Escherichia marmotae"	"2"	"1224"	"1236"	"91347"	"543"	"561"	"1499973"	NA
"LR745848-_Escherichia_ruysiae-_Escherichia_ruysiae-_|LR745848|-_OPT1704_T"	"LR745848"	"2608867"	"Escherichia ruysiae"	"2"	"1224"	"1236"	"91347"	"543"	"561"	"2608867"	NA
"AJ508775-_Escherichia_albertii-_Escherichia_albertii-_|AJ508775|-_LMG_20976_T"	"AJ508775"	"1115511"	"Escherichia albertii"	"2"	"1224"	"1236"	"91347"	"543"	"561"	"208962"	"1115511"
"HF558388-_Shigella_boydii-_Shigella_boydii-_|HF558388|-_P288_T"	"HF558388"	"621"	"Shigella boydii"	"2"	"1224"	"1236"	"91347"	"543"	"620"	"621"	NA
"MK734184-_Intestinirhabdus_alba-_Intestinirhabdus_alba-_|MK734184|-_BIT-B35_T"	"MK734184"	"2899544"	"Intestinirhabdus alba"	"2"	"1224"	"1236"	"91347"	"543"	"2899543"	"2899544"	NA
"HQ992945-_Citrobacter_koseri-_Citrobacter_koseri-_|HQ992945|-_LMG_5519_T"	"HQ992945"	"545"	"Citrobacter koseri"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"545"	NA
"FR870441-_Citrobacter_amalonaticus-_Citrobacter_amalonaticus-_|FR870441|-_CECT_863_T"	"FR870441"	"35703"	"Citrobacter amalonaticus"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"35703"	NA
"AF025371-_Citrobacter_farmeri-_Citrobacter_farmeri-_|AF025371|-_CDC_2991-81_T"	"AF025371"	"67824"	"Citrobacter farmeri"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"67824"	NA
