"tip_label"	"genome_id"	"taxid"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"
"GCA_002763225|k__Archaea|p__Candidatus_Diapherotrites|c__Candidatus_Diapherotrites_unclassified|o__Candidatus_Diapherotrites_unclassified|f__Candidatus_Diapherotrites_unclassified|g__Candidatus_Diapherotrites_unclassified|s__Candidatus_Diapherotrites_archaeon_CG10_big_fil_rev_8_21_14_0_10_31_34"	"GCA_002763225"	"1974406"	"2157"	"743725"	NA	NA	NA	NA	"1974406"	NA
"GCA_002762855|k__Archaea|p__Candidatus_Woesearchaeota|c__Candidatus_Woesearchaeota_unclassified|o__Candidatus_Woesearchaeota_unclassified|f__Candidatus_Woesearchaeota_unclassified|g__Candidatus_Woesearchaeota_unclassified|s__Candidatus_Woesearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_34_8"	"GCA_002762855"	"1974461"	"2157"	"1801616"	NA	NA	NA	NA	"1974461"	NA
"GCA_002784405|k__Archaea|p__Candidatus_Woesearchaeota|c__Candidatus_Woesearchaeota_unclassified|o__Candidatus_Woesearchaeota_unclassified|f__Candidatus_Woesearchaeota_unclassified|g__Candidatus_Woesearchaeota_unclassified|s__Candidatus_Woesearchaeota_archaeon_CG_4_10_14_0_8_um_filter_47_5"	"GCA_002784405"	"1974451"	"2157"	"1801616"	NA	NA	NA	NA	"1974451"	NA
"GCA_002762785|k__Archaea|p__Candidatus_Woesearchaeota|c__Candidatus_Woesearchaeota_unclassified|o__Candidatus_Woesearchaeota_unclassified|f__Candidatus_Woesearchaeota_unclassified|g__Candidatus_Woesearchaeota_unclassified|s__Candidatus_Woesearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_45_16"	"GCA_002762785"	"1974465"	"2157"	"1801616"	NA	NA	NA	NA	"1974465"	NA
"GCA_002762845|k__Archaea|p__Candidatus_Woesearchaeota|c__Candidatus_Woesearchaeota_unclassified|o__Candidatus_Woesearchaeota_unclassified|f__Candidatus_Woesearchaeota_unclassified|g__Candidatus_Woesearchaeota_unclassified|s__Candidatus_Woesearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_36_11"	"GCA_002762845"	"1974462"	"2157"	"1801616"	NA	NA	NA	NA	"1974462"	NA
"GCA_002792115|k__Archaea|p__Candidatus_Woesearchaeota|c__Candidatus_Woesearchaeota_unclassified|o__Candidatus_Woesearchaeota_unclassified|f__Candidatus_Woesearchaeota_unclassified|g__Candidatus_Woesearchaeota_unclassified|s__Candidatus_Woesearchaeota_archaeon_CG_4_10_14_0_2_um_filter_33_13"	"GCA_002792115"	"1974449"	"2157"	"1801616"	NA	NA	NA	NA	"1974449"	NA
"GCA_002762705|k__Archaea|p__Candidatus_Woesearchaeota|c__Candidatus_Woesearchaeota_unclassified|o__Candidatus_Woesearchaeota_unclassified|f__Candidatus_Woesearchaeota_unclassified|g__Candidatus_Woesearchaeota_unclassified|s__Candidatus_Woesearchaeota_archaeon_CG11_big_fil_rev_8_21_14_0_20_43_8"	"GCA_002762705"	"1974468"	"2157"	"1801616"	NA	NA	NA	NA	"1974468"	NA
"GCA_002794135|k__Archaea|p__Candidatus_Woesearchaeota|c__Candidatus_Woesearchaeota_unclassified|o__Candidatus_Woesearchaeota_unclassified|f__Candidatus_Woesearchaeota_unclassified|g__Candidatus_Woesearchaeota_unclassified|s__Candidatus_Woesearchaeota_archaeon_CG08_land_8_20_14_0_20_43_7"	"GCA_002794135"	"1974454"	"2157"	"1801616"	NA	NA	NA	NA	"1974454"	NA
"GCA_002762985|k__Archaea|p__Candidatus_Woesearchaeota|c__Candidatus_Woesearchaeota_unclassified|o__Candidatus_Woesearchaeota_unclassified|f__Candidatus_Woesearchaeota_unclassified|g__Candidatus_Woesearchaeota_unclassified|s__Candidatus_Woesearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_44_13"	"GCA_002762985"	"1974464"	"2157"	"1801616"	NA	NA	NA	NA	"1974464"	NA
"GCA_001871415|k__Archaea|p__Candidatus_Woesearchaeota|c__Candidatus_Woesearchaeota_unclassified|o__Candidatus_Woesearchaeota_unclassified|f__Candidatus_Woesearchaeota_unclassified|g__Candidatus_Woesearchaeota_unclassified|s__Candidatus_Woesearchaeota_archaeon_CG1_02_57_44"	"GCA_001871415"	"1805424"	"2157"	"1801616"	NA	NA	NA	NA	"1805424"	NA
"GCA_002779235|k__Archaea|p__Candidatus_Woesearchaeota|c__Candidatus_Woesearchaeota_unclassified|o__Candidatus_Woesearchaeota_unclassified|f__Candidatus_Woesearchaeota_unclassified|g__Candidatus_Woesearchaeota_unclassified|s__Candidatus_Woesearchaeota_archaeon_CG07_land_8_20_14_0_80_44_23"	"GCA_002779235"	"1974453"	"2157"	"1801616"	NA	NA	NA	NA	"1974453"	NA
