taxa	trait1
Salmonella_enterica_subsp._enterica-_-AE006468--_LT2_T	37
Escherichia_fergusonii-_-AF530475--_ATCC_35469_T	37
Shigella_flexneri-_-X96963--_ATCC_29903_LTP__T	37
Escherichia_coli-_-X80725--_ATCC_11775T_T	37
Shigella_sonnei-_-FR870445--_CECT_4887_T	37
Shigella_dysenteriae-_-X96966--_ATCC_13313_LTP__T	37
Escherichia_albertii-_-AJ508775--_LMG_20976_T	30
Shigella_boydii-_-HF558388--_P288_T	37
Escherichia_hermannii-_-AB682276--_NBRC_105704_T	37
Klebsiella_pneumoniae_subsp._pneumoniae-_-X87276--_DSM_30104_T_T	37
Klebsiella_variicola_subsp._tropica-_-MK040621--_SB5531_T	37
Klebsiella_pneumoniae_subsp._rhinoscleromatis-_-Y17657--_ATCC13884T_T	37
Kosakonia_radicincitans-_-CP018016--_DSM_16656_T	28
Siccibacter_turicensis-_-DQ273681--_LMG_23730_T	37
Phytobacter_massiliensis-_-JN657217--_JC163_T	37
Cronobacter_dublinensis_subsp._lactaridi-_-EF059838--_E464_T	37
Cronobacter_dublinensis_subsp._lausannensis-_-EF059841--_E515_T	37
Cronobacter_universalis-_-EF059877--_E797-_NCTC_9529_T	37
Cronobacter_turicensis-_-EF059891--_z3032_T	37
Cronobacter_muytjensii-_-AJKU01000067--_ATCC_51329_T	28
Cronobacter_condimenti-_-CAKW01000111--_1330_T	37
Cronobacter_sakazakii-_-EF088379--_ATCC_29544_T	30
Cronobacter_malonaticus-_-AJKV01000019--_LMG_23826_T	37
Shimwellia_blattae-_-CP001560--_DSM_4481_T	37
Erwinia_amylovora-_-AJ233410--_DSM_30165_T	37
Erwinia_piriflorinigrans-_-GQ405202--_CECT_7348_T	28
Erwinia_pyrifoliae-_-AB242880--_DSM12163_T	30
Erwinia_tasmaniensis-_-AM055716--_Et1/99_T	28
Erwinia_tracheiphila-_-Y13250--_LMG_2906-T_T	28.5
Winslowiella_toletana-_-FR870447--_CECT_5263_T	28.5
Enterobacter_hormaechei_subsp._hormaechei-_-AJ508302--_CIP_103441_T	30
Pluralibacter_gergoviae-_-AB004748--_JCM1234_T	30
Enterobacter_mori-_-EU721605--_R18-2_T	28
Cedecea_davisae-_-ATDT01000040--_DSM_4568_T	30
Citrobacter_freundii-_-AJ233408--_DSM_30039_T	30
Klebsiella_oxytoca-_-AF129440--_ATCC_13182T_T	37
Klebsiella_aerogenes-_-CP002824--_KCTC_2190_T	30
Raoultella_ornithinolytica-_-U78182--_CIP_103364_T	37
Phaseolibacter_flectens-_-AB021400--_ATCC_12775_T	28
Tatumella_ptyseos-_-AJ233437--_DSM_5000_T	30
Buttiauxella_agrestis-_-AJ233400--_DSM_4586_T	30
Kluyvera_ascorbata-_-JMPL01000225--_ATCC_33433_T	30
Serratia_marcescens-_-AB061685--_KRED_T	26
Serratia_nematodiphila-_-EU036987--_DZ0503SBS1_T	28
Pectobacterium_wasabiae-_-AKVS01000027--_CFBP_3304_T	28
Pectobacterium_atrosepticum-_-JN600332--_CFBP_1526_T	27
Brenneria_nigrifluens-_-AJ233415--_DSM_30175_T	26
Pectobacterium_carotovorum-_-AJ233411--_DSM_30168_T	26
Pectobacterium_parvum-_-KC337335--_73a_G5847_Pcc_s0421_T	26
Brenneria_salicis-_-U80210--_ATCC_15712_T	26
Dickeya_dadantii_subsp._dadantii-_-AOOE01000052--_NCPPB_898_T	30
Dickeya_solani-_-KF639914--_NCPPB_4575_T	26
Dickeya_zeae-_-AF520711--_CFBP_2052_T	26
Musicola_paradisiaca-_-Z96096--_LMG_2542_T	26
Yersinia_pseudotuberculosis-_-AF366375--_ATCC_29833_T	28
Yersinia_pestis-_-AF366383--_NCTC_5923_T	31.5
Yersinia_bercovieri-_-AF366377--_ATCC_43970_T	30
Yersinia_massiliensis-_-CAKR01000050--_CCUG_53443_T	28
Yersinia_rohdei-_-ACCD01000072--_ATCC_43380_T	30
Yersinia_intermedia-_-AF366380--_ATCC_29909_T	30
Yersinia_mollaretii-_-AF366382--_ATCC_43969_T	28
Yersinia_frederiksenii-_-AF366379--_ATCC_33641_T	30
Yersinia_enterocolitica_subsp._palearctica-_-FR729477--_Y11_T	28
Rahnella_aquatilis-_-AJ233426--_DSM_4594_T	30
Hafnia_alvei-_-M59155--_ATCC_13337_T	30
Hafnia_paralvei-_-FM179943--_ATCC_29927_T	28
Serratia_liquefaciens-_-CP006252--_ATCC_27592_T	30
Serratia_proteamaculans-_-AJ233434--_DSM_4543_T	26
Serratia_plymuthica-_-AJ233433--_DSM_4540_T	26
Serratia_odorifera-_-AJ233432--_DSM_4582_T	28
Serratia_symbiotica-_-GU394001--_CWBI-2.3_T	25
Budvicia_aquatica-_-AJ233407--_DSM_5075_T	26
Aggregatibacter_aphrophilus-_-EU083529--_CIP_70.73_T	37
Aggregatibacter_segnis-_-AEPS01000017--_ATCC_33393_T	37
Haemophilus_pittmaniae-_-AJ290755--_HK85_T	37
Pasteurella_dagmatis-_-ACZR01000003--_ATCC_43325_T	37
Haemophilus_aegyptius-_-AFBC01000053--_ATCC_11116_T	37
Gallibacterium_anatis-_-AF228001--_F_149_T	37
Avibacterium_paragallinarum-_-AY498868--_NCTC_11296T_T	37
Actinobacillus_succinogenes-_-CP000746--_130Z_T	37
Actinobacillus_minor-_-ACQL01000137--_NM305_T	37
Bibersteinia_trehalosi-_-AY362927--_NCTC_10370_T	37
Actinobacillus_capsulatus-_-AY362886--_CCUG_12396_T	37
Actinobacillus_suis-_-AY362899--_ATCC_33415_T	37
Actinobacillus_ureae-_-AEVG01000167--_ATCC_25976_T	37
Haemophilus_parahaemolyticus-_-AJ295746--_NCTC_8479T_T	37
Haemophilus_parainfluenzae-_-AEWU01000024--_ATCC_33392_T	37
Haemophilus_sputorum-_-AFNK01000005--_CCUG_13788_T	37
Pasteurella_testudinis-_-AY362926--_CCUG_19802_T	37
Photorhabdus_temperata-_-AJ007405--_XINach_T	28
Xenorhabdus_doucetiae-_-DQ211709--_FRM16_T	28
Proteus_penneri-_-LN809884--_DSM_4544_T	37
Proteus_mirabilis-_-DQ885256--_NCTC_11938_T	37
Cosenzaea_myxofaciens-_-DQ885259--_NCIMB_13273_T	37
Providencia_rettgeri-_-AM040492--_DSM_4542_T	37
Providencia_sneebia-_-AKKN01000006--_DSM_19967_T	28
Providencia_alcalifaciens-_-ABXW01000071--_DSM_30120_T	37
Providencia_burhodogranariea-_-HM038004--_B_T	28
Edwardsiella_ictaluri-_-AFJI01000002--_ATCC_33202_T	28
Edwardsiella_tarda-_-AB050827--_ATCC15947_T	30
Edwardsiella_anguillarum-_-CP006664--_ET080813_T	30
Chania_multitudinisentens-_-CP007044--_RB-25_T	28
Leminorella_grimontii-_-AJ233421--_DSM_5078_T	37
Plesiomonas_shigelloides-_-X60418--_NCIMB9242_T	36.5
Aeromonas_molluscorum-_-AY532690--_848T_T	28
Aeromonas_ichthiosmia-_-X71120--_DSM_6393_LTP__T	37
Aeromonas_hydrophila_subsp._hydrophila-_-DQ207728--_CCM_7232-_ATCC_7966_T	28
Aeromonas_media-_-X60410--_ATCC_33907_T	22
Aeromonas_punctata_subsp._punctata-_-X60408--_NCIMB_13016_T	30
Aeromonas_caviae-_-X74674--_ATCC_15468T_T	30
Aeromonas_diversa-_-GQ365710--_CECT_4254_T	37
Tolumonas_auensis-_-CP001616--_DSM_9187_T	22
Succinivibrio_dextrinosolvens-_-Y17600--_DSM_3072_T	39
Succinatimonas_hippei-_-AB601002--_JCM_16073_T	37
Ruminobacter_amylophilus-_-Y15992--_DSM_1361-_ATCC_29744_T	39
Succinimonas_amylolytica-_-ARKF01000008--_DSM_2873_T	37
Gallaecimonas_xiamenensis-_-JQ666155--_3-C-1_T	28
Vibrio_brasiliensis-_-AJ316172--_LMG_20546_T	28
Vibrio_maritimus-_-GU929925--_R-40493_T	25
Vibrio_nigripulchritudo-_-AFWJ01000197--_ATCC_27043_T	28
Vibrio_coralliilyticus-_-ACZN01000020--_ATCC_BAA-450_T	28
Vibrio_tubiashii_subsp._tubiashii-_-X74725--_ATCC_19109T_T	28
Vibrio_aerogenes-_-AF124055--_FG1-_CCRC_17041-_ATCC_700797_T	28
Vibrio_gazogenes-_-X74705--_ATCC_29988T_T	25
Vibrio_fluvialis-_-X76335--_NCTC_11327_T_T	25
Vibrio_cholerae-_-X76337--_CECT_514_T_T	20
Vibrio_porteresiae-_-EF488079--_MSSRF30_T	20
Vibrio_natriegens-_-AB680922--_NBRC_15636_T	30
Vibrio_parahaemolyticus-_-AF388386--_ATCC_17802_T	25
Vibrio_alginolyticus-_-CP006718--_ATCC_17749_T	30
Vibrio_jasicida-_-AB562589--_TCFB_0772_T	28
Vibrio_owensii-_-GU018180--_DY05_T	28
Vibrio_harveyi-_-AY750575--_NCIMB1280T_T	25
Vibrio_rotiferianus-_-AJ316187--_LMG_21460_T	28
Vibrio_campbellii-_-CP015863--_ATCC_25920-_CAIM_519T_n_T	28
Vibrio_orientalis-_-AFWH01000078--_CIP_102891_T	28
Vibrio_splendidus-_-AJ515230--_LMG_4042_T	25
Vibrio_marisflavi-_-FJ847833--_WH134_T	28
Vibrio_casei-_-FJ968722--_WS_4539_T	28
Vibrio_vulnificus-_-X76333--_ATCC_27562_T_T	30
Vibrio_ordalii-_-AEZC01000173--_ATCC_33509_T	28
Listonella_anguillarum-_-AM235737--_NCMB_6_T	25
Vibrio_metschnikovii-_-AB681962--_NBRC_103153_T	25
Vibrio_ichthyoenteri-_-AJ421445--_DSM_14397T_T	28
Aliivibrio_salmonicida-_-X70643--_NCMB_2262_LTP__T	15
Aliivibrio_fischeri-_-X74702--_ATCC774T_T	26
