"tip_label"	"accession"	"taxid"	"taxname"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"
"'AE006468, Salmonella enterica subsp. enterica, Salmonella enterica subsp. enterica, (AE006468), LT2 T'"	"AE006468"	"99287"	"Salmonella enterica subsp. enterica"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	"99287"
"'AF008580, Salmonella enterica subsp. arizonae, Salmonella enterica subsp. arizonae, (AF008580), ATCC 13314 T'"	"AF008580"	"59203"	"Salmonella enterica subsp. arizonae"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	NA
"'MK942857, Klebsiella indica, Klebsiella indica, (MK942857), TOUT106 T'"	"MK942857"	"576"	"Klebsiella indica"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"576"	NA
"'EU014680, Salmonella enterica subsp. indica, Salmonella enterica subsp. indica, (EU014680), DSM 14848 T'"	"EU014680"	"59207"	"Salmonella enterica subsp. indica"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	NA
"'EU014684, Salmonella enterica subsp. houtenae, Salmonella enterica subsp. houtenae, (EU014684), DSM 9221 T'"	"EU014684"	"59205"	"Salmonella enterica subsp. houtenae"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	NA
"'EU014685, Salmonella enterica subsp. salamae, Salmonella enterica subsp. salamae, (EU014685), DSM 9220 T'"	"EU014685"	"59202"	"Salmonella enterica subsp. salamae"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	NA
"'EU014688, Salmonella enterica subsp. diarizonae, Salmonella enterica subsp. diarizonae, (EU014688), DSM 14847 T'"	"EU014688"	"59204"	"Salmonella enterica subsp. diarizonae"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	NA
"'EF643377, Mangrovibacter plantisponsor, Mangrovibacter plantisponsor, (EF643377), MSSRF40 T'"	"EF643377"	"451513"	"Mangrovibacter plantisponsor"	"2"	"1224"	"1236"	"91347"	"543"	"451512"	"451513"	NA
"'KP319034, Mangrovibacter phragmitis, Mangrovibacter phragmitis, (KP319034), MP23 T'"	"KP319034"	"1691903"	"Mangrovibacter phragmitis"	"2"	"1224"	"1236"	"91347"	"543"	"451512"	"1691903"	NA
"'KM089834, Mangrovibacter yixingensis, Mangrovibacter yixingensis, (KM089834), TULL-A T'"	"KM089834"	"1529639"	"Mangrovibacter yixingensis"	"2"	"1224"	"1236"	"91347"	"543"	"451512"	"1529639"	NA
"'AB681979, Trabulsiella guamensis, Trabulsiella guamensis, (AB681979), NBRC 103172 T'"	"AB681979"	"158852"	"Trabulsiella guamensis"	"2"	"1224"	"1236"	"91347"	"543"	"158851"	"158852"	NA
"'DQ453129, Trabulsiella odontotermitis, Trabulsiella odontotermitis, (DQ453129), Eant 3-9 T'"	"DQ453129"	"379893"	"Trabulsiella odontotermitis"	"2"	"1224"	"1236"	"91347"	"543"	"158851"	"379893"	NA
"'HG972968, Enterobacillus tribolii, Enterobacillus tribolii, (HG972968), IG-V01 T'"	"HG972968"	"1487935"	"Enterobacillus tribolii"	"2"	"1224"	"1236"	"91347"	"1903412"	"1822002"	"1487935"	NA
"'AF029227, Salmonella bongori, Salmonella bongori, (AF029227), BR 1859 T'"	"AF029227"	"54736"	"Salmonella bongori"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"54736"	NA
"'AF530475, Escherichia fergusonii, Escherichia fergusonii, (AF530475), ATCC 35469 T'"	"AF530475"	"585054"	"Escherichia fergusonii"	"2"	"1224"	"1236"	"91347"	"543"	"561"	"564"	"585054"
"'X96963, Shigella flexneri, Shigella flexneri, (X96963), ATCC 29903 LTP [T] T'"	"X96963"	"623"	"Shigella flexneri"	"2"	"1224"	"1236"	"91347"	"543"	"620"	"623"	NA
"'X80725, Escherichia coli, Escherichia coli, (X80725), ATCC 11775T T'"	"X80725"	"866789"	"Escherichia coli"	"2"	"1224"	"1236"	"91347"	"543"	"561"	"562"	"866789"
"'FR870445, Shigella sonnei, Shigella sonnei, (FR870445), CECT 4887 T'"	"FR870445"	"624"	"Shigella sonnei"	"2"	"1224"	"1236"	"91347"	"543"	"620"	"624"	NA
"'X96966, Shigella dysenteriae, Shigella dysenteriae, (X96966), ATCC 13313 LTP [T] T'"	"X96966"	"622"	"Shigella dysenteriae"	"2"	"1224"	"1236"	"91347"	"543"	"620"	"622"	NA
"'KJ787692, Escherichia marmotae, Escherichia marmotae, (KJ787692), HT073016 T'"	"KJ787692"	"1499973"	"Escherichia marmotae"	"2"	"1224"	"1236"	"91347"	"543"	"561"	"1499973"	NA
"'LR745848, Escherichia ruysiae, Escherichia ruysiae, (LR745848), OPT1704 T'"	"LR745848"	"2608867"	"Escherichia ruysiae"	"2"	"1224"	"1236"	"91347"	"543"	"561"	"2608867"	NA
"'AJ508775, Escherichia albertii, Escherichia albertii, (AJ508775), LMG 20976 T'"	"AJ508775"	"1115511"	"Escherichia albertii"	"2"	"1224"	"1236"	"91347"	"543"	"561"	"208962"	"1115511"
"'HF558388, Shigella boydii, Shigella boydii, (HF558388), P288 T'"	"HF558388"	"621"	"Shigella boydii"	"2"	"1224"	"1236"	"91347"	"543"	"620"	"621"	NA
"'MK734184, Intestinirhabdus alba, Intestinirhabdus alba, (MK734184), BIT-B35 T'"	"MK734184"	"2899544"	"Intestinirhabdus alba"	"2"	"1224"	"1236"	"91347"	"543"	"2899543"	"2899544"	NA
"'HQ992945, Citrobacter koseri, Citrobacter koseri, (HQ992945), LMG 5519 T'"	"HQ992945"	"545"	"Citrobacter koseri"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"545"	NA
"'FR870441, Citrobacter amalonaticus, Citrobacter amalonaticus, (FR870441), CECT 863 T'"	"FR870441"	"35703"	"Citrobacter amalonaticus"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"35703"	NA
"'AF025371, Citrobacter farmeri, Citrobacter farmeri, (AF025371), CDC 2991-81 T'"	"AF025371"	"67824"	"Citrobacter farmeri"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"67824"	NA
"'MN603664, Citrobacter telavivensis, Citrobacter telavivensis, (MN603664), NMI7904_11 T'"	"MN603664"	"2653932"	"Citrobacter telavivensis"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"2653932"	NA
